,Operator,Fatalities
275,Air Taxi - Airis Helicopters Inc.,3.0
276,Air Taxi - Alpine Aviation,3.0
277,Air Taxi - Baker Aviation Inc.,3.0
278,Air Taxi - Basco Flying Service Inc.,7.0
279,"Air Taxi - Bigfoot Air of Alaska, LLC",4.0
280,Air Taxi - Bohemia Inc.,3.0
281,Air Taxi - Centre Airlines Inc.,2.0
282,Air Taxi - Coastal Airways Inc.,3.0
283,Air Taxi - Coastal Helicopters Inc.,7.0
284,Air Taxi - Continental Air Taxi,3.0
285,Air Taxi - Custom Air Transport Inc.,2.0
286,Air Taxi - Delaware Aviation LLC,4.0
287,Air Taxi - Desert Flying Service,3.0
288,Air Taxi - Durango Air Service,3.0
289,Air Taxi - Eidoarie Inc.,4.0
290,Air Taxi - El Aero Services Inc.,5.0
291,Air Taxi - Flying School of the Cascades Inc.,4.0
292,Air Taxi - Four Corners Aviation Inc.,2.0
293,Air Taxi - Grant Aviation Inc.,6.0
294,Air Taxi - Great Northern Aircraft Co.,3.0
295,Air Taxi - Guinn Flying Service,4.0
296,Air Taxi - Haines Airways Inc.,6.0
297,Air Taxi - Hawaii Helicopters Inc.,7.0
298,Air Taxi - Henson Airlines,14.0
299,"Air Taxi - Iliamna, Air Taxi Inc.",6.0
300,Air Taxi - Island Air Service,4.0
301,Air Taxi - Island Airlines,4.0
302,Air Taxi - Islip Airco Inc.,2.0
303,Air Taxi - Jet Alaska,3.0
304,Air Taxi - Lab Flying Service Inc.,6.0
305,Air Taxi - Lake Clark Air Inc.,3.0
306,Air Taxi - Las Vegas Flyers Inc.,10.0
307,Air Taxi - MajestiAlliance,2.0
308,Air Taxi - Marco Zero Air Taxi,5.0
309,Air Taxi - Martin Aviation LP,5.0
310,Air Taxi - Mercy Flights Inc.,4.0
311,Air Taxi - Minuteman Aviation Inc.,3.0
312,Air Taxi - Monument Valley Air Service,6.0
313,Air Taxi - National Helicopters,3.0
314,Air Taxi - New England Airlines,3.0
315,Air Taxi - New London Flying Services Inc.,2.0
316,Air Taxi - Northern Air Services Inc.,2.0
317,Air Taxi - Northern Arizona Aircraft Inc.,5.0
318,Air Taxi - Ohana Helicopter Tours,6.0
319,Air Taxi - Oklahoma Airways Inc.,2.0
320,Air Taxi - Ozark Skyways Inc.,4.0
321,Air Taxi - Papillion Helicopters Ltd.,3.0
322,Air Taxi - Paramount Aviation Corp.,5.0
323,Air Taxi - Peninsula Airways,3.0
324,Air Taxi - Petroleum Helicopters Inc.,15.0
325,Air Taxi - Raco Helicopters Corp.,3.0
326,Air Taxi - Richards Aviation Inc.,2.0
327,Air Taxi - Richmor Aviation,3.0
328,Air Taxi - Ryan Air Service,5.0
329,Air Taxi - Sea PacifiInc.,3.0
330,Air Taxi - Seaside Air Service,3.0
331,Air Taxi - South Coast Helicopters Inc.,4.0
332,Air Taxi - Stanley Air Taxi,4.0
333,Air Taxi - Stearns Air Alaska,3.0
334,Air Taxi - Sun Western Flyers Inc.,9.0
335,Air Taxi - TAJ FBO Co.,4.0
336,Air Taxi - Talon Air Services Inc.,3.0
337,Air Taxi - Temesco Helicopters Inc.,3.0
338,Air Taxi - Trail Lake Flying Service Inc.,5.0
339,Air Taxi - Transamerica,2.0
340,Air Taxi - Tyee Airlines Inc.,8.0
341,Air Taxi - US Helicopters Inc.,5.0
342,Air Taxi - Uyak Air Services Inc.,6.0
343,Air Taxi - Western Helicopter Inc.,4.0
344,Air Taxi - Wilderness Aviation Inc.,3.0
345,Air Taxi - Wolfe Air Aviation Ltd.,2.0
346,Air Taxi -Wilderness Aviation Inc.,5.0
347,Air Taxi- Hermans Air Inc.,2.0
348,Air Transit - Air Taxi,3.0
349,Air Transport,33.0
350,Air Transport Associates,2.0
351,Air Transport Charter,3.0
352,Air Trek,6.0
353,Air Turks & Caicos,1.0
354,Air US / Private,15.0
355,Air Union,17.0
356,Air Vietnam (South Vietnam),434.0
357,Air West,7.0
358,Air West Airlines Ltd.,1.0
359,Air Wisconsin,13.0
360,Air ambulance - Mercy Air Services,3.0
361,Air taxi,21.0
362,Air taxi - Aero Air Taxi,4.0
363,Air taxi - Air Safaris Inc.,3.0
364,Air taxi - Cuiaba Air Taxi,6.0
365,Air taxi - Jao Air Taxi,4.0
366,Air taxi - Lider Air Taxi,6.0
367,Air taxi - Rumo Notre Air Taxi,4.0
368,Air taxi - TAM,2.0
369,Air-Lift Commuter,2.0
370,AirNow,2.0
371,AirWest Airlines,11.0
372,Airborne Express,8.0
373,Airborne Transport,32.0
374,Airbus Industrie,7.0
375,Airco Charters - Air Taxi,2.0
376,Aircraft Charter Group Inc,2.0
377,Aircraft Transport and Travel,1.0
378,Airfast Indonesia,17.0
379,Airfast Services,37.0
380,Airline Transport,1.0
381,Airline Transport Carriers,32.0
382,Airlines of Australia,5.0
383,Airlines of PNG,2.0
384,Airlink,28.0
385,Airquarius Aviation - Charter,3.0
386,Airtech Rajawaldi Udara,14.0
387,Airwave Transport,2.0
388,Airways,3.0
389,Airwork,9.0
