,Operator,Fatalities
1569,Military - U.S. Army Air Corps,13.0
1570,Military - U.S. Army Air Force,19.0
1571,Military - U.S. Army Air Forces,1070.0
1572,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces,25.0
1573,Military - U.S. Army Air Service,34.0
1574,Military - U.S. Marine Corps,362.0
1575,Military - U.S. Marine Corps/Military - U.S. Marine Corps,48.0
1576,Military - U.S. Marines,31.0
1577,Military - U.S. Navy,767.0
1578,Military - U.S. Navy / Military -  U.S. Navy,27.0
1579,Military - U.S. Navy / Military - U.S. Navy,33.0
1580,Military - U.S. Navy / NASA,16.0
1581,Military - US Air Force,10.0
1582,Military - US Army,12.0
1583,Military - Ukraine Air Force,0.0
1584,Military - Unified Yemen Air Force,57.0
1585,Military - Union of Burma Air Force,75.0
1586,Military - United States Air Force,5.0
1587,Military - United States Army Air Force,33.0
1588,Military - United States Marine Corps,4.0
1589,Military - United States Navy,24.0
1590,Military - Uruguayan Air Force,44.0
1591,Military - Venezuelan Air Force,93.0
1592,Military - Venezuelan Army,24.0
1593,Military - Venezuelan Navy,46.0
1594,Military - Vietnamese Air Force,190.0
1595,Military - Vietnamese Air Force / Military - U.S. Army,18.0
1596,Military - West German Air Force,35.0
1597,Military - Zairean Air Force,87.0
1598,Military - Zambia Air Force,13.0
1599,Military - Zambian Air Force,59.0
1600,Military - Zimbabwe Air Force,17.0
1601,Military -Royal Air Force,524.0
1602,Military Soviet  Air Force - Aeroflot,120.0
1603,Military U.S. Navy,0.0
1604,Military U.S. Navy / Military - U.S. Navy,28.0
1605,Million Air,4.0
1606,Milne Bay Air,36.0
1607,Miltiary - U.S. Airforce,6.0
1608,Mimika Air,11.0
1609,Mineral County Airlines,35.0
1610,Minerva Airlines,4.0
1611,Ministerstvo Obshchestvo Mashinostroyeniya,9.0
1612,Misrair,78.0
1613,Missionary Aviation Fellowship,36.0
1614,Mohawk Airlines,71.0
1615,Moldovan Aeriantur-M Air Cargo,34.0
1616,Monarch Aviation,3.0
1617,Mongolian Defense Ministry,15.0
1618,Monmouth Airways,4.0
1619,Monument Valle - Air Taxi,2.0
1620,Moore's Air Charter,12.0
1621,Morningstar Air Express,1.0
1622,Morris Hancock Flying Club - Charter,3.0
1623,Moskovia Airlines,9.0
1624,Mountain Air Cargo,2.0
1625,Moyer Aviation - Air Taxi,4.0
1626,Mt. McKinley Airfreight,4.0
1627,Munz Northern Airlines,4.0
1628,Mustang Aviati,5.0
1629,Mustique Airways,1.0
1630,Myanmar Airways,76.0
1631,NC Simpson - Taxi,4.0
1632,NFD - Nurnberger Flugdienst,21.0
1633,NHR Táxi-Aéreo,2.0
1634,NLM (Nederlandse Luchtvaart Maatschappij),17.0
1635,"NY, Phil., Washington AW",5.0
1636,Nacional de Aviacion,18.0
1637,Naftogaz,20.0
1638,Nahanni Air Services,7.0
1639,Nash and Tampo - Air Taxi,5.0
1640,Naske Air,3.0
1641,Nationair (chartered by Nigeria Airways),261.0
1642,National Air Operators,3.0
1643,National Air Transport,10.0
1644,National Air Transport Services,13.0
1645,National Airlines,164.0
1646,National Airways,3.0
1647,"National Jet Services Inc.,  (Air Indiana)",29.0
1648,National Parks Airways,7.0
1649,Nationwide Air Transport,3.0
1650,Naturelink,1.0
1651,Navegacao Aerea Brasileira,11.0
1652,Naysa Aerotaxis,8.0
1653,Necon Air,19.0
1654,New  York Helicopter,4.0
1655,New England Airlines,8.0
1656,New England Airways,3.0
1657,New England Aviaiton,4.0
1658,New Standard Airlines,4.0
1659,New Tribes Mission,36.0
1660,New York Airways,12.0
1661,New Zealand National Airways,56.0
1662,NewCal Aviation,3.0
1663,Nigeria Airways,167.0
1664,Nightexpress,2.0
1665,Nile Delta Air Services,18.0
1666,Nile Safaris Aviation,14.0
1667,Nordair,6.0
1668,Nordchurchaid,5.0
1669,Nordeste Linhas Aereas,15.0
1670,Nordeste Linhas Aéreas,16.0
1671,Norilsk Flight Company,15.0
1672,Norte Jet Táxi Aéreo,2.0
1673,North American Sabreliner 40,11.0
1674,North Bay Charter,10.0
1675,North Canada Air,1.0
1676,North Cay Air - Air Taxi,2.0
1677,North Cay Airways,2.0
1678,North Central Airlines,27.0
1679,North Central Airlines / Air Wisconsin,13.0
1680,North Central Airlines / Private,3.0
1681,North Coast Aviation,4.0
1682,North Continental Airlines (Robin Airlines),29.0
1683,North East Bolivian Airways,1.0
1684,North PacifiAirlines,9.0
1685,North Queensland Airways,5.0
1686,North Sea Aerial and General Transport,1.0
1687,North Sound Aviation,7.0
1688,North Star Air Cargo,1.0
1689,North Western Air Transport,13.0
1690,Northeast Airlines,91.0
1691,Northeast Jet,3.0
1692,Northern Air (Tanzania),12.0
1693,Northern Air Cargo,4.0
1694,Northern Executive Aviation,2.0
1695,Northern Illinois Flight Center,2.0
1696,Northern Thunderbird Air,7.0
1697,Northern Thunderbird Air Ltd.,12.0
1698,Northern Wings,3.0
1699,Northwest Airlines,154.0
1700,Northwest Airlines/ Northwest Airlines,8.0
1701,Northwest Airlink,9.0
1702,Northwest Airways,1.0
1703,Northwest Moon - Air Taxi,3.0
1704,Northwest Orient Airlines,531.0
1705,Norwegian Airlines,54.0
1706,Nuna Air,8.0
1707,Nyika Safaris,6.0
1708,Ocean Airlines,1.0
1709,Oceanaire Helicopter - Air Taxi,4.0
1710,Oefag Flugdienst,9.0
1711,Oeste Linhas Aereas,6.0
1712,Okada Air,4.0
1713,Okanagan Helicopters,13.0
1714,OlympiAirways,195.0
1715,OlympiAviation,34.0
1716,One-Two-Go Airlines,90.0
1717,Onzeair,4.0
1718,Orcon Inc. - Air Taxi,2.0
1719,Orient Air System and Integrated Services,1.0
1720,Orient Airways,17.0
1721,Oriental Airlines,5.0
1722,Orion - Air Taxi,4.0
1723,Orlando Airways - Air Taxi,4.0
1724,Ortner Air Service - Taxi,2.0
1725,Overseas National Airways,2.0
1726,Oxaero Ltd.,4.0
1727,Ozark Air Lines,38.0
1728,Ozark Air Lines / Private,2.0
1729,PENAS,6.0
1730,PHI Air Medical,4.0
1731,PMT Air,22.0
1732,PT Air Regional,4.0
1733,PacifiAir,2.0
1734,PacifiAir Lines,45.0
1735,PacifiAir Transport,14.0
1736,PacifiAirways,1.0
1737,PacifiAlaska Air Freight,17.0
1738,PacifiAlaska Airlines,3.0
1739,PacifiCoast Airlines,5.0
1740,PacifiCoastal Airlines,14.0
1741,PacifiNorthern Airlines,14.0
1742,PacifiOverseas Airways,24.0
1743,PacifiSouthwest Airlines,46.0
1744,PacifiSouthwest Airlines / Private,137.0
1745,PacifiWestern Airlines,59.0
1746,Page Airways,6.0
1747,Pakair,26.0
1748,Pakistan Airways,21.0
1749,Pakistan International Airlines,693.0
1750,Palair Macedonian,83.0
1751,Pan African Air Charter,42.0
1752,Pan African Airlines,57.0
1753,Pan American Airways,33.0
1754,Pan American Airways (Scadta),5.0
1755,Pan American Grace Airlines,17.0
1756,Pan American Grace Airways,23.0
1757,Pan American World Airways,1302.0
1758,Pan American World Airways / KLM,583.0
1759,Pan ArctiOil,32.0
1760,Pan International,22.0
1761,Pan Malaysian Air Transport,16.0
1762,Panagra,14.0
1763,Panair do Brasil,266.0
1764,Panair do Brazil,15.0
1765,Panorama Air Tour,8.0
1766,Papillon Grand Canyon Helicopters of Las Vegas,6.0
1767,Paradise Air,9.0
1768,Paradise Airlines,85.0
1769,Paradise Tour Helicopters,4.0
1770,Paraense Transportes Aereos,38.0
1771,Paraense Transportes Aéreos,17.0
1772,Paramount Airlilnes,21.0
1773,Parsa,10.0
1774,Partnair,55.0
1775,Patagonia Airlines,10.0
1776,Pathet Lao Airlines,18.0
1777,Patuxent Airways / Private,11.0
1778,Paukn Air,38.0
1779,Paul Kelly Flying Service Inc.,8.0
1780,Pavair,2.0
1781,Pel Air,2.0
1782,Pelita Air Service,67.0
1783,PenAir,12.0
1784,Peninsula Air Services,6.0
1785,Peninsular,28.0
1786,Penninsula Airways - Air Taxi,4.0
1787,Pennsylvania Airlines,1.0
1788,Pennsylvania Central Airlines,98.0
1789,Perimeter Airlines,2.0
1790,Permaviatrans,24.0
1791,Perris Valley Aviation,16.0
1792,Petroleum Helicopter,49.0
1793,Petroleum Helicopters Inc,8.0
1794,Petrolium Helicopter,11.0
1795,Petrolium Helo Inc.,5.0
1796,Petroproducción,26.0
1797,Philippine Aerotransport,20.0
1798,Philippine Air Express,5.0
1799,Philippine Air Lines,455.0
1800,Phillips Flying Service - Air Taxi,4.0
1801,Phoenix Air,2.0
1802,Phoenix Airlines,2.0
1803,Phoenix Aviation,5.0
1804,Pickwick Airways,1.0
1805,Piedmont Airlines,64.0
1806,Piedmont Airlines / Private,86.0
1807,Pilgrim Airlines,6.0
1808,Pinnacle Airlines/Northwest Airlink,2.0
1809,Pioneer Airlines,11.0
1810,Plane Sailing,4.0
1811,Planemasters,1.0
1812,Points North Air Services,2.0
1813,Polynesian Airlines,35.0
1814,Portsmouth Aviation - Air Taxi,2.0
1815,President Airlines,83.0
1816,Presidental Airways Inc. - Air Taxi,6.0
1817,Prestige Airlines (Cargo) Charter,25.0
1818,Price Aircraft Company,6.0
1819,Prinair,32.0
1820,Prior Aviatoin - Air Taxi,3.0
1821,Priority Air - Air Taxi,3.0
1822,Priorty Air Charter,1.0
1823,Private,123.0
1824,Private  - Daewoo Shipbuilding,8.0
1825,Private - Air Taxi,2.0
1826,Private - Ashland Oil Company,13.0
1827,Private - Boeing Aircraft Company,10.0
1828,Private - Corporate,8.0
1829,Private - Facilities Management Co.,9.0
1830,Private - Hendrick Motorsports Inc.,10.0
1831,Private - Kabanov - skydiving,11.0
1832,Private - Mainline Aviation,4.0
1833,Private - Omniflight Helicopters,5.0
1834,Private - OverteCompany,13.0
1835,Private - Parajump air show,11.0
1836,Private - Purdue Reasearch Foundation,2.0
1837,Private - Techint  group,10.0
1838,Private - WNBC,2.0
1839,Private - de Havilland Aircraft,1.0
1840,Private Charter,9.0
1841,Private KNBC Los Angeles,2.0
1842,Private Wings,10.0
1843,Private air taxi,4.0
1844,Private charter,8.0
1845,Procuradoria General de la Republica,7.0
1846,Procuraduría General de la República,5.0
1847,Procurator Generale de la Republica,10.0
1848,Professional Aviation Services,3.0
1849,Propair,11.0
1850,Prospec,3.0
1851,Proteus Air / Private,15.0
1852,Provincetown - Boston Airlines,14.0
1853,Provincial Air Services,4.0
1854,Provincial Airlines,1.0
1855,Ptarmigan Airways,2.0
1856,Pudget Sound Air - Air Taxi,10.0
1857,Pulkovo Airlines,170.0
1858,Pulkovo Aviation Enterprise,14.0
1859,Purdue Airlines Inc.,1.0
1860,Qantas,89.0
1861,Quakertown Aviation - Air Taxi,4.0
1862,Quebecair,21.0
1863,Queen Airmotive - Air Taxi,4.0
1864,Queen Charlotte Airlines,37.0
1865,Queensland Airlines,18.0
1866,RAM,3.0
1867,RCMP-GRC Air Services,2.0
1868,REAL,145.0
1869,REAL / Military - U.S. Navy,61.0
1870,RRC Air Service,16.0
1871,Radeair,8.0
1872,Rambar Aviation - Air Taxi,4.0
1873,Rapid Air Transport,7.0
1874,Ray A. Gardner - Taxi,3.0
1875,Raytheon Aircraft,3.0
1876,Reali Taxi Aereo,2.0
1877,Red Aircraft Service - Air Taxi,4.0
1878,Red Bank Air Taxi,9.0
1879,Red Carpet Flying Service - Air Taxi,4.0
1880,Reed Aviation - Air Taxi,5.0
1881,Reeder Flying Service,5.0
1882,Reeve Aleutian Airlines,16.0
1883,Regency Express Air,2.0
1884,Regina Cargo Airlines,22.0
1885,Regional Airlines,28.0
1886,Regional Compagnie Aerienne Europeenne,0.0
1887,Regionnair,1.0
1888,Renan Airways,5.0
1889,RepubliAirlines,1.0
1890,Resort Air Service - Air Taxi,2.0
1891,Resort Airlines,25.0
1892,Revilla Flying Service - Air Taxi,5.0
1893,Reynolds Airways,7.0
1894,Rhoadgs Aviation - Air Taxi,2.0
1895,Richland Aviation  - Taxi,6.0
1896,Richland Flying Service - Air Taxii,3.0
1897,Richmor Aviation,2.0
1898,Rico Linhas Aereas,33.0
1899,Rico Taxi Aero,8.0
1900,Rico Taxi Aéreo,23.0
1901,Riddle Airlines,4.0
1902,Rijnmond Air Services,10.0
1903,Rimouski Airlines,26.0
1904,Rinaldo Piaggio,6.0
1905,Riverside Air,5.0
1906,Roadrunner Airlines,5.0
1907,Robinson Airlines,16.0
1908,Rocky Mountain Airways,2.0
1909,Romanian Banat Air,49.0
1910,Ross Aviation - Air Taxi,9.0
1911,Rotor Airs In- Air Taxi,6.0
1912,Rotorcraft Leasing Co,3.0
1913,Rousseau Aviaiton,31.0
1914,Royal Air Lao,60.0
1915,Royal Air Maroc,105.0
1916,Royal American - Air Taxi,2.0
1917,Royal Nepal Airlines,102.0
1918,Rubner Flying Service,2.0
1919,Ruiban & Duran Compania Aérea,4.0
1920,Russ Air Transport Company,10.0
1921,Rusts Flying Service Inc.,5.0
1922,Rutaca,10.0
1923,Rutaca Airlines,24.0
1924,Rutas Aéreas Nacionales SA,3.0
1925,Rutas Internacionales Peruanes,7.0
1926,Rwanda Government,12.0
1927,Ryan Air Services,26.0
1928,Ryan Blake Air Charter,14.0
1929,Ryan International Airlines,2.0
1930,Réseau Aérien Interinsulaire,15.0
1931,SA Amazonica,6.0
1932,SADELCA,14.0
1933,SAESA,23.0
1934,SAETA,169.0
1935,SAM Colombia,178.0
1936,SAMSA,25.0
1937,SAN Ecuador,8.0
1938,SANSA,36.0
1939,SATA,71.0
1940,SATCO,7.0
1941,SATENA,201.0
1942,SAVCO,13.0
1943,SAVIARE S.A. - Air Taxi,6.0
1944,SCADTA,5.0
1945,SELVA,19.0
1946,SELVA Colombia,3.0
1947,SEMAF,12.0
1948,SFC Vietnam - Charter - Full Account,16.0
1949,SL Aviation Services,2.0
1950,STAAP,9.0
1951,STAP,10.0
1952,STASA,1.0
1953,SUDENE,12.0
1954,SW Air Rangers - Air Taxi,3.0
1955,Sabah Air,22.0
1956,Sabang Merauke Raya Air Charter,11.0
1957,Sabena,401.0
1958,Sabeni,2.0
1959,Sadia,21.0
1960,Safe Air Cargo,4.0
1961,Safe Air Complany,3.0
1962,Safeway Airways,4.0
1963,Saha Airline Services,42.0
1964,Sahara,4.0
1965,Sahsa Airlines,21.0
1966,Saint Lawrence Airways,6.0
1967,Sakha Airlines,37.0
1968,Salair,4.0
1969,Salida Flying Service - Air Taxi,6.0
1970,Salmon Air - Air Taxi,2.0
1971,San Juan Air,1.0
1972,Sankuru Air Service,5.0
1973,Santa Barbara Airlines,46.0
1974,Sarit Airlines,4.0
1975,Sasco Air Lines,24.0
1976,Saskatchewan Government Northern Air Operations,1.0
1977,Saturn Airways,6.0
1978,Saudi Arabian Airlines,349.0
1979,Saudi Arabian Airlines / Kazastan Airlines,349.0
1980,Saudi Arabian Royal Flight,18.0
1981,Savanair,7.0
1982,Savannair,14.0
1983,Scandinavian Airlines (SAS),116.0
1984,Scandinavian Airlines (SAS) / Private,114.0
1985,Scanex Air,10.0
1986,SceniAir Lines,10.0
1987,SceniAir Tours,23.0
1988,SceniAirline - Air Taxi,2.0
1989,SceniAirlines,17.0
1990,Scibe Airlift Cargo Zaire,39.0
1991,Scottish Airlines,56.0
1992,Sea Airmotive,3.0
1993,SeaWind Aviation,6.0
1994,Seattle Air Charter,14.0
1995,Seaview Aviation,9.0
1996,Security Air,7.0
1997,Selva Taxi Aero,5.0
1998,Sempati Air,30.0
1999,Senegalair,6.0
2000,Servant Air,6.0
2001,Service Air,10.0
2002,Servicio Aereo Columbiano / SCADTA,17.0
2003,Servicio Aereo Manchupo,6.0
2004,Servicio Aéreo Panini,5.0
2005,Servicio Expresso Nacional,9.0
2006,Servicios Aereas Virgen de Copacabana,1.0
2007,Servicios Aereos Martinez Leon,13.0
2008,Servicios Aereos Nacionales,24.0
2009,Servicios Aereos Nacionales Airways,33.0
2010,Servicios Aereos Santa Ana,10.0
2011,Servicios Aeronauticos Sucre (SASCA),1.0
2012,Servicios Americanos,2.0
2013,Servicios Aéreos Boliviano,4.0
2014,Servicios Aéreos Cochabamba,4.0
2015,Servicios Aéreos Especiales,26.0
2016,Servivensa,8.0
2017,Seventy Airways - Air Taxi,3.0
2018,Shanair Inc. - Air Taxi,2.0
2019,Shangri La Air,18.0
2020,Shanxi Airlines,42.0
2021,Shell Co of Ecuador,34.0
2022,Shelter Cove Sea Park,17.0
2023,Si Fly - U.N. charter,24.0
2024,Siamese Airways,16.0
2025,Sibir (S7),128.0
2026,Sibir Airlines,124.0
2027,Sierra PacifiAirlines,36.0
2028,SilkAir,104.0
2029,Silver City Airways,35.0
2030,Simmons Airlines,3.0
2031,Simpson Air Service - Air Taxi,9.0
2032,Singapore Airlines,85.0
2033,Sinquanon Management - Air Taxi,2.0
2034,Skagway Air Service - Air Taxi,6.0
2035,Skips Air Service - Air Taxi,3.0
2036,Sky Cabs,6.0
2037,Sky Chopper  - Air Taxi,2.0
2038,Sky Executive Air Services,5.0
2039,Sky Haven - Air Taxi,2.0
2040,Sky Train Air,3.0
2041,Skycraft Air Transport,1.0
2042,Skydive Salt Lake - Charter,9.0
2043,Skyline Airways,14.0
2044,Skyline Aviation - Air Taxi,4.0
2045,Skyline Sweden,22.0
2046,Skyline Transportation Company,1.0
2047,Skylink Airlines,7.0
2048,Skypower Express Airways,6.0
2049,Skystream Airlines,2.0
2050,Skyvan Airways,1.0
2051,Skyward Aviation,2.0
2052,Skyway Air  - Taxi,2.0
2053,Skyways,3.0
2054,Skyways of London,11.0
2055,Skywest Airlines / Private.,10.0
2056,Skyworld Airlines (Ports of Call Inc.),1.0
2057,Slick Airways,16.0
2058,Slick Airways - Cargo,3.0
2059,Smithers Air Service,3.0
2060,Smyer Aircraft - Air Taxi,2.0
2061,Snow Valley Ski Lines,1.0
2062,Sobelair SA (Belgium),141.0
2063,Soc. de Tr. Aériens d'Extrême Orient,4.0
2064,Sociedad Aeronautica Medellin,48.0
2065,Sociedade de Aviacao Ligeira Charter,16.0
2066,Societa Aerea Mediterranea,5.0
2067,Societe Aerienne du Littoral,41.0
2068,Societe Alpes Provence,39.0
2069,Societe France Hydro,16.0
2070,Societe Indochinoise de Raviteillement,16.0
2071,Societe Indochinoise de Transport Aeriens,4.0
2072,Societe Transatlantique Aerienne,14.0
2073,Società Aerea Teseo,7.0
2074,Société Auxiliare de Navigation Aérienne,2.0
2075,Société Aérienne de Tr. Tropicaux,17.0
2076,Société de Transports Aériens,4.0
2077,Socotra,1.0
2078,Soldotna Air Services,7.0
2079,Solomon Islands Airlines,26.0
2080,Somali Airlines,85.0
2081,SoniBlue Airways,3.0
2082,Sosoliso Airlines,108.0
2083,Soundsair,5.0
2084,South African Airways,336.0
2085,South Central Airlines,10.0
2086,South PacifiIsland Airways,11.0
2087,Southcentral Air,7.0
2088,Southeast Airlines,10.0
2089,Southeast Sky - Air Taxi,4.0
2090,Southeast Skyways - Air Taxi,3.0
2091,Southern Air Transport,3.0
2092,Southern Airways,137.0
2093,Southern Cross Airways,5.0
2094,Southern Express,1.0
2095,Southern Jersey Air - Air Taxi,3.0
2096,Southern Sudan Air Connection,24.0
2097,Southwest Air,16.0
2098,Southwest Airlift,2.0
2099,Southwest Airlines,0.0
2100,Southwest Airways,22.0
2101,Southwest Aviation - Air Taxi,4.0
2102,Southwest Medivac,5.0
2103,Sowind Air,4.0
2104,Spair Air Transport,12.0
2105,Spanair,154.0
2106,Spanish Air Force,11.0
2107,Spantax,247.0
2108,Spartan Air Services,2.0
2109,Speed Service Couriers,1.0
2110,Spencer Airways / Ceskoslovenske Aerolinie,12.0
2111,Spernak Airway - Air Taxi,4.0
2112,Spernak Airways - Air Taxi,4.0
2113,Staer Air,27.0
2114,Standard Airlines,35.0
2115,Star Aviation,9.0
2116,Starair,2.0
2117,Starways,1.0
2118,State Airlines,6.0
2119,Stavropol Airlines,50.0
2120,Sterling Airways,137.0
2121,Stikine Air Service - Air Taxi,2.0
2122,Strait Air,1.0
2123,Straits Air Freight Express,4.0
2124,Straley Flying Service - Air Taxi,2.0
2125,Strato Freight,53.0
2126,Stratofreight,3.0
2127,Streamline,1.0
2128,Suburban Airlines - Air Taxi,4.0
2129,Sudan Airways,223.0
2130,Sudania Air Cargo,10.0
2131,Summit Air Charters,3.0
2132,Sun Valley Airways - Air Taxi,4.0
2133,Sun West Airline - Air Taxi,4.0
2134,SunQuest Executive Air Charter,2.0
2135,Sunbeam Air Transport Co.,5.0
2136,Sundance Helicopters,7.0
2137,Sunflower Airlines,11.0
2138,Superior Airways,3.0
2139,Superior Aviation,1.0
2140,Surinam Airways,176.0
2141,Survair,4.0
2142,Svedijos Prekés,3.0
2143,Svenska Aero,10.0
2144,Swedish Air Force,8.0
2145,Swifair,2.0
2146,Swift Aire Lines Inc.,3.0
2147,Swissair,411.0
2148,Syktyvkar Avia,15.0
2149,Syndicato Condor,36.0
2150,Syrian Airways,28.0
2151,Syrian Arab Airlines,1.0
2152,T & G Aviation,5.0
2153,T.A. Intercontinentaux,46.0
2154,T.A. Intercontinentaux (France),53.0
2155,TAA,3.0
2156,TAAG Angola Airlines,157.0
2157,TABA,86.0
2158,TABSO,18.0
2159,TAC Colombia,19.0
2160,TACA,95.0
2161,TACA International Airlines,3.0
2162,TACSA,9.0
2163,TACV-Cabo Verde Airlines,18.0
2164,TAESA,30.0
2165,TAG Airlines,9.0
2166,TAM (Bolivia),156.0
2167,TAM (Brazil),310.0
2168,TAM (Peru),22.0
2169,TAM Lineas Aéreas Regional,43.0
2170,TAM Paraguay,1.0
2171,TAME,306.0
2172,TAME Ecuador,7.0
2173,TAMPA Colombia,3.0
2174,TAN,130.0
2175,TAN Honduras,3.0
2176,TANS Airlines,46.0
2177,TANS Peru,40.0
2178,TAO,10.0
2179,TAP (Air Portugal),131.0
2180,TAR,4.0
2181,TARS,13.0
2182,TASSA,1.0
2183,TAUSA,12.0
2184,TMK Air Commuter,22.0
2185,TPI International Airways,3.0
2186,Tadair,2.0
2187,Taiwan Airlines,29.0
2188,Taiwan Aviation,18.0
2189,Tajikistan Airlines,207.0
2190,Talair,56.0
2191,Talia Airways,15.0
2192,Tamair,2.0
2193,Tampa Air Center - Air Taxi,3.0
2194,TanaMana Aviation,4.0
2195,Tanana Air Taxi,2.0
2196,Tanzania Aviation,10.0
2197,Taos Airways - Air Taxi,3.0
2198,Taquan Air Service,5.0
2199,Tar Heel Aviation,2.0
2200,Tarom,194.0
2201,Tartarstan Airlines,41.0
2202,Tashkent Aircraft Production Corporation,5.0
2203,Tassili Airlines,1.0
2204,Taxader Airlines,44.0
2205,Taxair,8.0
2206,Taxi Aereo El Venado,3.0
2207,Taxi Aereo de Santander,28.0
2208,Taxi Aereo el Venado,128.0
2209,Taxi Aéreo Cesar Aguiar,8.0
2210,Taxi Aéreo Kovacs,9.0
2211,Taxi Aéreo del Guaviare,7.0
2212,Taxi Aéreo el Venado,2.0
2213,Taxval,1.0
2214,Team Air,19.0
2215,Tech - Aeronautical Explotiation,22.0
2216,Telford Aviation,9.0
2217,Temesco Helicopter - Air Taxi,3.0
2218,Temsco Airlines,4.0
2219,Temsco Helicopter - Air Taxi,3.0
2220,Tepper Aviation,5.0
2221,Terry Air Inc.,3.0
2222,Texas International Airlines,11.0
2223,Thai Airways,358.0
2224,Thai International,24.0
2225,Theif River Aviation - Air Taxi,4.0
2226,Tierra del Fuego Province,12.0
2227,Tigres Voladores,44.0
2228,Tiramavia,1.0
2229,Titan Airways,2.0
2230,Toa DomestiAirline (Japan),68.0
2231,Tomahawk Airways,6.0
2232,Top Air - Air Taxi,4.0
2233,Total,8.0
2234,Total  Air Lines,2.0
2235,Touraine Air Transport,8.0
2236,Tracep,17.0
2237,Trade Wings Aviation Ltd.,3.0
2238,Trafik-Turist-Transportflyg,20.0
2239,Trans Air Services,3.0
2240,Trans Alaska Helicopter - Air Taxi,2.0
2241,Trans Australia Airlines,39.0
2242,Trans Canada Air Lines,212.0
2243,Trans Canada Air Lines / RCAF,36.0
2244,Trans Caribbean Airways,2.0
2245,Trans Colorado AL / Continental Express,9.0
2246,Trans Continental Air Transport,13.0
2247,Trans Continental and Western Air,142.0
2248,Trans Guyana Airways,3.0
2249,Trans International Airlines,11.0
2250,Trans Isle Air,1.0
2251,Trans Luxury Airlines,2.0
2252,Trans Mediterranean Airways,20.0
2253,Trans National Airlines,3.0
2254,Trans Service Airlift,144.0
2255,Trans World Airlines,784.0
2256,Trans World Airlines / Castleton Inc.,15.0
2257,Trans World Airlines / Eastern Air Lines,4.0
2258,Trans World Airlines / Private,28.0
2259,Trans-Canada Air Lines,5.0
2260,Trans-Luxury Airlines,21.0
2261,Transafrik,23.0
2262,Transafrik - United Nations Charter,9.0
2263,Transair,32.0
2264,Transair Georgia Airlines,134.0
2265,Transamazonica,4.0
2266,Transamerica Airlines,11.0
2267,Transamerican Air Transport,10.0
2268,Transamerican Airlines,1.0
2269,Transasia Airways,6.0
2270,Transaven,18.0
2271,Transaviaexport Airlines,11.0
2272,Transbrasil,67.0
2273,Transcontinental,24.0
2274,Transfair,2.0
2275,Transmandu,1.0
2276,Transmeridian Air Cargo,4.0
2277,Transniugini Airways,2.0
2278,Transocean Air Lines,106.0
2279,Transoriente Colombia,7.0
2280,Transpolar,5.0
2281,Transport Aerien Intercontinentaux (France),52.0
2282,Transport Arien Transregional,23.0
2283,Transport Comp. Algerienne de T.A.,9.0
2284,Transporte Aereo Federal,20.0
2285,Transported Areos Profesionales - TAPSA,16.0
2286,Transportes Aereos Don Carlos - Charter,10.0
2287,Transportes Aereos Mexicanos,3.0
2288,Transportes Aereos Nacionales,19.0
2289,Transportes Aereos Orientales,3.0
2290,Transportes Aereos Pegaso,14.0
2291,Transportes Aereos Peruanas,12.0
2292,Transportes Aereos del Caribe,70.0
2293,Transportes Areos Nacionales,24.0
2294,Transportes Aéreos Itenez,6.0
2295,Transportes Aéreos Mexicanos,4.0
2296,Transportes Aéreos Salvador,14.0
2297,Transportes Aéreos de Timor,9.0
2298,Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,82.0
2299,Transports Aériens de la Guinee-Bissau,3.0
2300,Transporturile Aeriene Romane (TAROM),60.0
2301,Transporturile Aeriene Romano-Sovietice,3.0
2302,Transworld Safaris,3.0
2303,Travel Air Flug,2.0
2304,TriCoastal Air,1.0
2305,Trigana Air Service,22.0
2306,Trillium Air,1.0
2307,TropiAir - Air Taxi,8.0
2308,Tropical Airways,21.0
2309,TsAGI,13.0
2310,Tulakes Aviaiton - Air Taxi,2.0
2311,Tuninter,16.0
2312,Tura Air Enterprise,9.0
2313,Turkish Airlines,9.0
2314,Turkish Airlines (THY),891.0
2315,Two Taxi Aero,2.0
2316,Tyee Airlines - Air Taxi,5.0
2317,Tyumen Aviatrans,5.0
2318,U. S. Air Force,19.0
2319,U.S. Government (leased),2.0
2320,U.S. Overseas Airways,2.0
2321,US Aerial Mail Service,40.0
2322,US Air Express/Air Midwest,21.0
2323,US Airlines,2.0
2324,US Airways,0.0
2325,US Airways Express,2.0
2326,USA Jet Airlines,1.0
2327,USAir,198.0
2328,USAir / Skywest Airlilnes,34.0
2329,UTAir Airlines,6.0
2330,Uganda Airlines,33.0
2331,Ukraine Aviation Transport Company,10.0
2332,Ukrainian Cargo Airlines -  Congolese Army Charter,129.0
2333,Ukranian-Mediterranean Airlines,75.0
2334,Ukvozduchput,1.0
2335,Uni Air,1.0
2336,Union Aeromaritime de Transport,17.0
2337,Union Airways,7.0
2338,Union Aéromaritime de Transport,3.0
2339,Union Flights,1.0
2340,Union des Transportes Aeriens,263.0
2341,Union des Transports Aeriens de Guinee,140.0
2342,Union of Burma Airways,47.0
2343,United Air Lines,1021.0
2344,United Air Lines / Military - U.S. Air Force,49.0
2345,United Air Lines / Trans World Airlines,256.0
